salesCode,description,usd,ngultrum
P058-S-B,Hung Syllable Pendant Silver Blue Enamel with chain,117,8500
P059-S-G,"Tam Syllable Pendant, Silver, Green Enamel, with chain",96,7000
P060-YGP-R,"Bam Syllable Pendant, Yellow Gold Plated, Red Enamel with chain",110,8000
P061-S,"Hri Syllable Pendant Silver, Larger, With Chain",96,7000
P064-YGP-CZ,"Double Vajra Medallion, Gold Plated, CZ, With Chain 55cm",220,16000
P065-S,"Om syllable pendant, no frame, Tashi Mannox Design, Silver, with chain",83,6000
P065-YG18,"Om Syllable Pendant, NEW, Yellow Gold 18k, Pendant Only 4.3g",768,56000
P066-YG14-RR,"Longevity Vase Bumpa Pendant, Yellow Gold 14k: 13.72g, Red Rubies .14cts, Openable",2082,
P066-YG14-SRB,"Longevity Vase Bumpa Pendant, Yellow Gold 14k: 13.72g, Red Rubies, Openable",2357,172000
P067-S,"Ratna Pendant Purple Quartz, Silver, CZ Diamonds, with chain",131,9500
P068-YG14-TQ,"Turquoise Oval Pendant,Yellow Gold 14k, Diamonds 0.216 CTS. 1.88g",740,54000
P069-S,"Three Dimensional Endless knot pendant studded with CZ diamonds, with chain",391,28500
P070-YG14-TQ,"Bumpa Turquoise Pendant with a diamond .008cts, 3.76g",727,53000
P071-YG18-BSDIA,"18K Longevity Vase, Larger, with Large sapphires and diamonds .14 CTS. 45.95g",8836,645000
P072-S,"Silver Buddha Shakyamuni Medallion Pendant, Rhodinated, With Chain, 42-45-55 cm",110,8000
P072-YGP,"Yellow Gold Plated Buddha Shakyamuni Medallion Pendant, With Chain, 42-45-55 cm",206,15000
P073-YG14-TQ-DIA,Intricate Diamond Turquoise Pendant 2.64 CTS./ Diamonds .188 CTS.,1261,92000
R001-DIA,"Silver Mahakala ring with 32 white and black diamonds 0.34cts, 23g",1042,76000
R001-S,"Wrathful Protector Ring, Sterling Silver, Oxidized, 23g",548,40000
R001-S-DIA,"Silver Mahakala ring with 32 white and black diamonds 0.34cts, 23g",1042,
R005-S-YG14,"Rahu Ring Ring, Silver, 14K Yellow Gold Ring (2.8g) with white topaz + Black Diamonds",425,31000
R014-S,"Laughing Skull Ring, Silver Black Diamonds 6g",124,9000
R014-S-BD,"Laughing Skull Ring, Silver Black Diamonds 6g",124,
R014-YG14,"Laughing Skull Ring, Black Diamonds, .036 cts 14k Gold 7.50g",1316,96000
R014-YG14-BD,"Laughing Skull Ring, Black Diamonds, .036 cts 14k Gold 7.50g",1316,
R017A-S,"Vajra and bell Ring, silver, black enamel, brushed finished surface, sanded insert, polished edges",151,11000
R017A-S-T,"Vajra and bell Ring, silver, Tiffany blue enamel, brushed finished surface, sanded insert, polished edges",151,11000
R017A-YG18,"Double Dorje Ring, brushed finished surface, sanded insert, polished edges, 18k, Diamond 0.04 CTS.",2200,
R017B-YG14,"Dorje Bell Samaya Ring, male size 14K Yellow Gold, brushed finished surface, sanded insert, polished edges Central Diamond .025 CTS. 10.49 grams",1781,130000
R017B-YG18,"Dorje Bell Samaya Ring, male size 18K Yellow Gold, brushed finished surface, sanded insert, polished edges Central Diamond .025 CTS. 12.5 grams",2398,175000
R017B-YG18-DIA,"Dorje Bell Samaya Ring, male size 18K Yellow Gold, brushed finished surface, sanded insert, polished edges Central Diamond .025 CTS. 12.5 grams",2398,
R017D-S,"Double Dorje Ring, silver, brushed finished surface, sanded insert, polished edges",144,10500
R019-YG18,"Infinity Knot Eternal Band, 18k Gold 4.8g, female size (51-55)",918,67000
R019-YG18-DIA,"Infinity Knot Eternal Band, 18k Gold, diamonds .05cts, 5.64 female size (51-55)",1151,84000
R019A-WG18,"Ring eternity infinity auspicious 18k White Gold, male size (59-60), 6g",1151,84000
R020-YG18,"Infinity Knot Eternal Band, Thinner, With Background, 18k Yellow Gold 4.7g female size (51-55)",1000,73000
R020B-YG18,"Large endless knot ring, THICKER, 18k yellow gold, Size 53 (female), 5.34g",1343,74000
R021-WG14-DIA,"Infinity Knot Ring, 14k White Gold, Diamonds 5.1g .71cts",1644,120000
R021-YG14,"Infinity Knot Ring, 14k Gold 4.9g",932,68000
R021-YG18-DIA,"Endless Knot Ring 18k Yellow Gold, Diamonds 5.79g, .71cts",2151,157000
R022-YG14-RR,Red Ruby Jewels Ring Ruby - 5.5cts 0.494cts diamonds 14k yellow gold 4.37g,2137,156000
R023-YG14-CIT,Citrine “Sunshine” Diamond 14K Vajra Ring Citrine - 3.34cts 0.598cts Diamonds 14k yellow gold 3.59g,2042,149000
R023-YG14-CIT-DIA,Citrine “Sunshine” Diamond 14K Vajra Ring Citrine - 3.34cts 0.598cts Diamonds 14k yellow gold 3.59g,2042,
R023-YG14-RR,Red Ruby Vajras Ring Ruby - 3.34cts 0.598cts Diamonds 14k yellow gold 3.59g,2042,149000
R025A-YG18,"A pair of Dorje and Bell Wedding Bands, Sanded Finish, Simple Design 4 diamonds... 18k Yellow Gold: approx 17g",3288,240000
R025C-YG18,"A pair of Dorje and Bell Wedding Bands, Brushed Finish, Protruding Design, 14 diamonds... 18k Yellow Gold: approx 19g",3357,245000
R026-WG14-AQ,"Aquamarine Ring, .28cts White Diamonds, 14k White Gold 5.29g",2384,174000
R026-WG14-AQ-DIA,"Aquamarine Ring, .28cts White Diamonds, 14k White Gold 5.29g",2384,
R027-YG14-COR,Coral Lotus Ring 0.08 CTS. YG14: 5.89g,1315,
R029-S,"Malaya Dream Ring, CZ Diamonds Sterling Rhodinated Silver",200,14600
R029-YG18,"Malaya Dream Ring, .255cts Diamonds 18k gold 9.77g",1918,140000
R029-YG18-DIA,"Malaya Dream Ring, .255cts Diamonds 18k gold 9.77g",1918,
R030-18KY,"Large endless knot ring, THICKER, 18k yellow gold, Size 59 (male) 5.72g",1095.89,80000
R030-YG18,"Endless Knot Ring Thicker, Seamless 18K Yellow Gold 11.37 Male size (size 61\)",2179,
R032-YG18,"Large Coral Signet Ring 18k Gold 21.75g, Total 23.56g 0.58cts. Diamonds",5000,
R032-YG18-CO,"Endless Knot Ring Thicker, Seamless 18K Yellow Gold 11.37 Male size (size 61)",5000,159000
R033-S-BDS,"Kirtimukha (Tsipatta) Ring Silver 20g Black diamonds, yellow sapphire .08cts",247,18000
R034-YG18,"Infinity Knot Eternal Band, Thinner, With Background, 18k Yellow Gold Size 59 and above (male) 6.25g",1014,87000
R039-S-CZ,"Samaya Ring, Dorje & Bell, JUMBO CZ Silver",179,13000
R039-YG18,"Samaya Ring Jumbo, Size 65, Yellow 18K Gold: 18.08g, Diamond: .015cts",3494,255000
R041-YG14-TQ,"Oval Cabochon Turquoise Malaya Ring with Diamonds 0.22 CTS. total: 3.57g, 14k: 2.94g Turquoise: 3.15cts",1014,74000
R042-YG18-TQ-DIA,“Ratna” Turquoise Ring 5.53cts With Diamonds .043cts. Yellow 18k Gold 5.01g,1014,74000
R044-YG14-COR,"Oval Coral Diamond Ring 0.30 CTS. YG14: 3.0g, Total Weight: 3.77g",1302,
R044-YG18-TQ,"Oval Turquoise Diamond Ring, Endless knot design in gallery, 3.25 CTS. Turquoise. Diamonds 0.28 CTS. 3.86g",1302,95000
R045-YG18,"Brushed/polished band ring, Yellow 18k Gold, 4.14g (female size)",1028,75000
R046-S-ON,"Dharmachakra, “The Dharma Wheel” Octagonal ring, Silver, Black Onyx",439,32000
R046-S-ON-DIA,"Dharmachakra, “The Dharma Wheel” Octagonal ring, Silver, Black Onyx & black Diamonds",494,36000
R047-WG18,"Gold bands sizes 50-54, bell engravings, white 18k gold Small sizes",343,25000
R047-YG18,"Gold bands sizes 50-61, vajra & bell engravings, yellow 18k gold Small sizes",329,24000
R048-YG14-TQ-DIA-BT,"Intricate Ring, Turquoise, 14k Gold, Diamonds, Blue Topaz Turquoise 2.60 CTS. Blue Topaz .22 CTS. Diamonds .17 CTS. 6.16g",1425,104000
R049-YG18-BS,"Double Shank Diamond Ring, Yellow Gold, Diamonds .23cts, Blue Sapphire",1946,
