salesCode,description,usd,ngultrum
BR006B-YGP,"Hri Syllable Brooch, Gold Plated, Smaller, 36mm 3.9g",96,7000
BR007-RGP,"Bam Syllable Brooch, Rose Gold Plated 28mm, 3g",69,5000
BR007-S,"Bam Syllable Brooch, Silver, 28mm 3g",62,4500
BR007-YGP,"Bam Syllable Brooch, Yellow Gold Plated 28mm, 3g",69,5000
BR008-S,"Ah Syllable Brooch, Silver 4g",69,5000
BR008-YGP,"Ah Syllable Brooch, Gold Plated 4g",83,6000
BR009,"Om Syllable Brooch, Silver, 26mm 2.8g",68.49,5000
BR009-S,"Om Syllable Brooch, Silver, 26mm 2.8g",69,
BR009-YGP,"Om Syllable Brooch, Yellow Gold Plated, 26mm 2.8g",83,6000
BR010-S,"Dzam Syllable Brooch, Silver 3.38g",69,5000
BR010-YGP,"Dzam Syllable Brooch, Gold Plated 3.39g",83,6000
BR011-S,"Double Vajra Brooch, Silver, CZ, 5.25g",117,8500
BR011-YGP,"Double Vajra Brooch, YGP, CZ, 5.15g",137,10000
BR012-S,Blue Poppy Silver Enamel Brooch National Flower,425,31000
C003-S,"Vajra and Bell Mala Counters, Large, Silver, Rhodium",220,16000
C004-RGP,"Vajra and Bell Mala counters, Rose/Yellow Gold Plated",233,17000
C004-S,"Vajra and Bell Mala Counters, Silver, Silver, Rhodium",165,12000
C004-YG14,"Vajra and Bell Mala Counters, Yellow 14k Gold, 8.87g",1713,125000
C005-RGP,"Phurba mala counter Rose Gold Plated, 3.81g",110,8000
C005-S,"Phurba mala counter Silver, Rhodium, 3.81g",83,6000
C005-YG14,"Mala Counter - Phurba, 14k Yellow Gold, 4.78g",822,60000
C006-RGP,"Drigug mala tally counter Rose Gold Plated, 3.82g",110,8000
C006-S,"Drigug mala tally counter Silver, Rhodium, 3.82g",83,6000
C006-YG14,"Mala Counter - Drigug, Yellow 14k Gold, 4.73g",822,60000
C007-S,"Phurba mala counter, Large Silver, Rhodium, 3.81g",110,8000
C007-YGP,"Mala Counter - Phurba, Large. Yellow Gold Plated 8.48g, (Vermeil Gold)",151,11000
C008-S,"Drigug mala tally counter, Large Silver, Rhodium, 8.44g",110,8000
C008-YGP,"Mala Counter - Drigug, Large. Yellow Gold Plated 8.47g, (Vermeil Gold)",151,11000
CA040-YG14,"CA040 Yellow 14k Gold chain, 2.66g",398,29000
CC028-RG14-45,"Chain 14k Rose gold, 45cm, spring-lock",220,16000
CC028-YG14,"Gold 14k Chain CC028, 38-42-45cm, 1.64g",247,18000
CC3100,"Silver Chain CC3100, 45cm, 1.47g",35,2500
CH040-YGP,Chain CH040 Silver Yellow Gold Plated,55,4000
CH060-S,"Silver Chain, 45cm CH060, 7.31g",48,3500
CL002-S,"Double Vajra Full Diamond Cufflinks Silver, CZ 14g",220,16000
CL002-YGP,"Double Vajra Full Diamond Cufflinks Gold Plated, CZ 14.46g",233,17000
CL003-YGP,"Malaya Emblem Cufflinks, Yellow Gold Plated, CZ Diamonds",233,17000
CL004-S,Sun and Moon Tashi Mannox Cufflinks Silver 13.64g,261,19000
CL004-YGP,Sun and Moon Tashi Mannox Cufflinks Gold Plated 13.8g,288,21000
CL005-S,"Double Dorje Cufflink, Silver 10.45g",179,13000
CL005-S-CZ,"Double Dorje Cufflink, Silver, CZ Diamonds 10.76g",185,13500
CL005-YGP,"Double Dorje Cufflink, Yellow Gold Plated 10.51g",192,14000
CL005-YGP-CZ,"Double Dorje Cufflink, YGP, CZ 10.49g",199,14500
CL006-S,"Double Dorje Cufflink, Enamel, Silver 10.67g",199,14500
CL006-S-CZ,"Double Dorje Cufflink, Enamel, Silver, CZ 10.69g",206,15000
CL006-YGP,"Double Dorje Cufflink, Enamel, Yellow Gold Plated 10.36g",213,15500
CL006-YGP-CZ,"Double Dorje Cufflink, Enamel, YGP, CZ 10.59g",220,16000
E005-YGP-CZ,"AH Syllable Earrings, Yellow Gold plated, CZ Diamonds",137,10000
E006-S,"Infinity Knot Hanging Earrings, Silver",83,6000
E006-YG18,"Infinity Knot Hanging Earrings, 18k Yellow Gold 6.95g",1329,97000
E006-YGP,"Infinity Knot Hanging Earrings, Gold Plated 4.07g",103,7500
E006B-S,"Endless Knot Earrings Large, Silver 6.2g",96,7000
E006B-YGP,"Endless Knot Earrings Large, YGP 6.23g",110,8000
