sku,code,name,category,material,qty,cost,retail,images,productIds
R026-WG14-AQ,R026,"Aquamarine Ring, .28cts White Diamonds, 14k White Gold 5.29g",Rings,White Gold,,,2383.56,,
R026-WG14-AQ-DIA,R026,,Rings,White Gold,,,,7,
R027-YG14-COR,R027,,Rings,14k Gold,,,,6,
R029-S,R029,"Malaya Dream Ring, CZ Diamonds Sterling Rhodinated Silver",Rings,Silver,,,200,5,
R029-YG18,R029,"Malaya Dream Ring, .255cts Diamonds 18k gold 9.77g",Rings,18k Gold,,,1917.81,,
R029-YG18-DIA,R029,,Rings,18k Gold,,,,5,
R030-18KY,R030,"Large endless knot ring, THICKER, 18k yellow gold, Size 59 (male) 5.72g",Rings,18k Gold,,,1095.89,,
R030-YG18,R030,,Rings,18k Gold,,,,8,
R032-YG18,R032,,Rings,18k Gold,,,,8,
R032-YG18-CO,R032,"Endless Knot Ring Thicker, Seamless 18K Yellow Gold 11.37 Male size (size 61)",Rings,18k Gold,,,2178.08,,p096
R033-S-BDS,R033,"Kirtimukha (Tsipatta) Ring Silver 20g Black diamonds, yellow sapphire .08cts",Rings,Silver,,,246.58,4,
R034-YG18,R034,"Infinity Knot Eternal Band, Thinner, With Background, 18k Yellow Gold Size 59 and above (male) 6.25g",Rings,18k Gold,,,1191.78,,
R039-S-CZ,R039,"Samaya Ring, Dorje & Bell, JUMBO CZ Silver",Rings,Silver,,,178.08,,
R039-YG18,R039,"Samaya Ring Jumbo, Size 65, Yellow 18K Gold: 18.08g, Diamond: .015cts",Rings,18k Gold,,,3493.15,7,
R041-YG14-TQ,R041,"Oval Cabochon Turquoise Malaya Ring with Diamonds 0.22 CTS. total: 3.57g, 14k: 2.94g Turquoise: 3.15cts",Rings,14k Gold,,,1013.7,3,p003
R042-YG18-TQ-DIA,R042,“Ratna” Turquoise Ring 5.53cts With Diamonds .043cts. Yellow 18k Gold 5.01g,Rings,18k Gold,,,1013.7,6,p007 p008
R044-18KY-TQ,R044,,Rings,,,,,4,
R044-YG14-COR,R044,,Rings,14k Gold,,,,6,
R044-YG18-TQ,R044,"Oval Turquoise Diamond Ring, Endless knot design in gallery, 3.25 CTS. Turquoise. Diamonds 0.28 CTS. 3.86g",Rings,18k Gold,,,1301.37,,
R045-YG18,R045,"Brushed/polished band ring, Yellow 18k Gold, 4.14g (female size)",Rings,18k Gold,,,1027.4,,
R046-S-ON,R046,"Dharmachakra, “The Dharma Wheel” Octagonal ring, Silver, Black Onyx",Rings,Silver,1,64.5,438.36,5,p009
R046-S-ON-DIA,R046,"Dharmachakra, “The Dharma Wheel” Octagonal ring, Silver, Black Onyx & black Diamonds",Rings,Silver,,,493.15,4,
R047-WG18,R047,"Gold bands sizes 50-54, bell engravings, white 18k gold Small sizes",Rings,White Gold,,,342.47,2,
R047-YG18,R047,"Gold bands sizes 50-61, vajra & bell engravings, yellow 18k gold Small sizes",Rings,18k Gold,,,328.77,4,
R048-YG14-TQ-DIA-BT,R048,"Intricate Ring, Turquoise, 14k Gold, Diamonds, Blue Topaz Turquoise 2.60 CTS. Blue Topaz .22 CTS. Diamonds .17 CTS. 6.16g",Rings,14k Gold,,,1424.66,4,p006
