sku,code,name,category,material,qty,cost,retail,images,productIds
N004-YG18-DIA,N004,"Vajra Necklace Yellow Gold 18k, Diamonds 0.24 cts with Chain ength 45-50 cm + 20.9 grams",Necklaces,18k Gold,,,4041.1,,
N005-S,N005,"Silver Vajra necklace, Medium 3 Dimensional design - 5 Prongs, Black Diamonds .118 CTS.",Necklaces,Silver,,,260.27,,
N005B-S,N005B,,Necklaces,Silver,,,,5,
N005B-YG14,N005B,"Mid Vajra Necklace, 3 Dimensional design - 5 Prongs, 14K Yellow Gold 8.46g .115cts diamonds",Necklaces,14k Gold,,,1753.42,,p068 p103
N005B-YG14-DIA,N005B,,Necklaces,14k Gold,,,,7,
N006-AMB-B,N006,"14K Gold Amber Necklace, With Vajras, 55cm Chain 13.4g/ 12.6g",Necklaces,14k Gold,,,1109.59,,
N007-YGP-CZ,N007,,Necklaces,Gold Plated,,,,5,
N007B-YGP,N007B,"Vajra Guru Mantra Necklace Gold Plated, Large 17.6g",Necklaces,Gold Plated,,,328.77,,p102
N007C-YGP,N007C,"Vajra Guru Mantra New, Small, Yellow Gold Plated, CZ Diamonds",Necklaces,Gold Plated,,,246.58,2,
N008-YGP,N008,"Dzambhala mantra Necklace, Gold Plated, CZ Diamonds, Large",Necklaces,Gold Plated,,,328.77,,
N008-YGP-CZ,N008,,Necklaces,Gold Plated,,,,2,
N009B-S,N009B,"Mani Mantra Necklace Small, Silver Tashi Mannox Design",Necklaces,Silver,,,164.38,3,p100
N009B-YGP,N009B,"Mani Mantra Necklace Gold Plated small, CZ Diamonds 9.84g",Necklaces,Gold Plated,,,246.58,,p106
N009B-YGP-CZ,N009B,,Necklaces,Gold Plated,,,,5,
N010-S,N010,"Endless Knot Hanging Necklace silver, CZ Diamonds",Necklaces,Silver,,,239.73,,
N010-S-CZ,N010,,Necklaces,Silver,,,,3,
N010-YG14,N010,"Hanging Endless Knot Necklace, 14K Yellow Gold 6.48g, Diamonds, .653cts",Necklaces,14k Gold,,,1643.84,,p105
N010-YG14-DIA,N010,,Necklaces,14k Gold,,,,3,
N013-S,N013,"Malaya Logo chain with CZ diamonds, Silver, Rhodium",Necklaces,Silver,,,219.18,3,
N013-YGP,N013,"Malaya Logo chain with CZ diamonds, Yellow Gold Plated",Necklaces,Gold Plated,,,232.88,,
N014-YGP,N014,"Double Vajra, Endless Knot and Malaya Logo chain layered necklace",Necklaces,Gold Plated,,,547.95,4,
N015-S,N015,"Vajra Necklace Small 5 prongs, Silver, chain 45cm",Necklaces,Silver,6,28.05,109.59,4,
N016-YG18,N016,"Vajra Necklace Medium Flat Design - 3 Prongs, Yellow 18k Gold 10.46g",Necklaces,18k Gold,,,2000,3,p099
N017-S,N017,"Vajra Necklace, Medium, Silver, 3 Dimensional design - 5 Prongs, Chain 45cm",Necklaces,Silver,,,123.29,4,
N020-YG18-TQ,N020,"Necklace, Turquoise with Diamonds .212cts, Yellow 18k gold, 10.52g",Necklaces,18k Gold,,,2438.36,1,p094
N022-YG18-COR,N022,"Life Force Coral Gold Necklace with Diamonds, 0.77 CTS. YG18: 20.24g, Total: 22.42g",Necklaces,18k Gold,,,4589.04,4,
N024-S,N024,"Om Ah Hung sacred syllables Necklace, Silver, 48cm",Necklaces,Silver,1,34.4,102.74,2,p002
N025-YG14-TQ-DIA,N025,"Oval Turquoise Necklace, Yellow 14k Gold, Turquoise: 6.01cts, Diamonds: .15cts 5.62g",Necklaces,14k Gold,,,1246.58,4,p092
P005-S,P005,"Large Phurba pendant, Three faces, 82mm, silver, with chain 70cm 17.5 grams",Pendants,Silver,,,356.16,,p042
P005-YG14,P005,"Phurba Pendant, Size 82mm, just pendant: 14k Solid Gold 19.9g",Pendants,14k Gold,,,3000,,p055
P005-YG18,P005,"Phurba Pendant, Size 82mm, just pendant: 18k solid gold, 25.6g:",Pendants,18k Gold,,,3972.6,,
P005-YG18-DIA1,P005,"Phurba Pendant, Size 82mm, just pendant 18k Solid Gold, 18 diamonds (.31cts) 22.59g",Pendants,18k Gold,,,7547.95,,
P005-YG18-DIA2,P005,"Phurba Pendant, Size 82mm, just pendant 18k full diamond set 25.28g (1.86cts)",Pendants,18k Gold,,,10712.33,,
P012-YG14,P012,"Tam syllable pendant small size, 24.5mm, Yellow 14k gold, 1.21g",Pendants,14k Gold,1,85.64,239.73,5,p070 p090
P016-WG14-DIA,P016,,Pendants,White Gold,,,,3,
P016-YG14,P016,"Om Syllable Pendant 14k gold, .343 cts white diamonds, pendant only, 1.56g",Pendants,14k Gold,,,835.62,,p088
P018-RGP,P018,"Sanskrit HRI syllable in a semi circle. Silver, rose gold plated. With chain.",Pendants,Rose Gold,1,25.9,95.89,5,p089
P019-S,P019,"Infinity knot pendant Silver, with chain",Pendants,Silver,4,26.37,82.19,5,
P019-YG14,P019,"Infinity knot pendant 14k Solid yellow gold, pendant only - 3.75g",Pendants,14k Gold,,,643.84,5,
P020-S,P020,"New HUNG syllable pendant, silver, white rhodium, 44mm, with chain",Pendants,Silver,2,25.84,82.19,5,p087
P020-YG14,P020,"New hung syllable pendant solid gold, size 44mm, pendant only 14k Yellow Gold - 3.82g",Pendants,14k Gold,,,602.74,,p083 p084 p085
P021-PT,P021,"New HUNG syllable pendant, solid Platinum, size 35mm, Pendant only, 3.89",Pendants,Platinum,,,1164.38,4,p080
P021-RG14,P021,,Pendants,Rose Gold,,,,4,
P021-WG14,P021,"New HUNG syllable pendant, solid 14k white gold, size 35mm, With 45cm Chain, 4.48g",Pendants,White Gold,,,712.33,4,p082
P021-YG14,P021,,Pendants,14k Gold,,,,5,
P021-YG14-CH,P021,"New HUNG syllable pendant, solid 14k yellow gold, size 35mm, With 45cm Chain, 4.44g",Pendants,14k Gold,,,753.42,,
P021-YG18,P021,"New HUNG syllable pendant, solid gold, size 35mm, pendant only: 18k yellow gold 2.70g",Pendants,18k Gold,,,506.85,3,p057 p066
P023-WH18-BS,P023,,Pendants,,,,,7,
P024-S,P024,"Large Silver Vajra Pendant, with chain, Hung syllable engraved",Pendants,Silver,,,493.15,,p017
P025-YG18-3C,P025,"Large 18K Solid Gold Vajra Pendant, Natural Red Rubies, white diamonds, blue sapphires, 21.6g",Pendants,18k Gold,,,4246.58,,
P026-S,P026,Large Bell pendant Silver with chain,Pendants,Silver,,,246.58,4,p065
P026-YG18,P026,"18K Yellow Gold Gold 8.31g, Diamond: .025cts, pendant only",Pendants,18k Gold,,,1986.3,,
P026-YGP,P026,,Pendants,Gold Plated,,,,5,
P027-DIA-14KY,P027,,Pendants,,,,,5,
P027-S,P027,"Vajra Pendant, Medium Size. Silver, with chain 62-45cm",Pendants,Silver,1,63.98,205.48,6,
