Sales Code,Description,USD,Ngultrum
N005-S,"Silver Vajra necklace, Medium 3 Dimensional design - 5 Prongs, Black Diamonds .118 CTS.", $ 260.27 ,"19,000"
N005B-YG14,"Mid Vajra Necklace, 3 Dimensional design - 5 Prongs, 14K Yellow Gold 8.46g .115cts diamonds"," $ 1,753.42 ","128,000"
N015-S,"Vajra Necklace Small 5 prongs, Silver, chain 45cm", $ 109.59 ,"8,000"
N017-S,"Vajra Necklace, Medium, Silver, 3 Dimensional design - 5 Prongs, Chain 45cm", $ 123.29 ,"9,000"
N016-YG18,"Vajra Necklace Medium Flat Design - 3 Prongs, Yellow 18k Gold 10.46g"," $ 2,000.00 ","146,000"
N006-AMB-B,"14K Gold Amber Necklace, With Vajras, 55cm Chain 13.4g/ 12.6g"," $ 1,109.59 ","81,000"
N007B-YGP,"Vajra Guru Mantra Necklace Gold Plated, Large 17.6g", $ 328.77 ,"24,000"
N007C-YGP,"Vajra Guru Mantra New, Small, Yellow Gold Plated, CZ Diamonds", $ 246.58 ,"18,000"
N008-YGP,"Dzambhala mantra Necklace, Gold Plated, CZ Diamonds, Large", $ 328.77 ,"24,000"
N009B-YGP,"Mani Mantra Necklace Gold Plated small, CZ Diamonds 9.84g", $ 246.58 ,"18,000"
N009B-S,"Mani Mantra Necklace Small, Silver Tashi Mannox Design", $ 164.38 ,"12,000"
N010-S,"Endless Knot Hanging Necklace silver, CZ Diamonds", $ 239.73 ,"17,500"
N010-YG14,"Hanging Endless Knot Necklace, 14K Yellow Gold 6.48g, Diamonds, .653cts"," $ 1,643.84 ","120,000"
N014-YGP,"Double Vajra, Endless Knot and Malaya Logo chain layered necklace", $ 547.95 ,"40,000"
N013-S,"Malaya Logo chain with CZ diamonds, Silver, Rhodium", $ 219.18 ,"16,000"
N013-YGP,"Malaya Logo chain with CZ diamonds, Yellow Gold Plated", $ 232.88 ,"17,000"
N020-YG18-TQ,"Necklace, Turquoise with Diamonds .212cts, Yellow 18k gold, 10.52g"," $ 2,438.36 ","178,000"
N022-YG18-COR,"Life Force Coral Gold Necklace with Diamonds, 0.77 CTS. YG18: 20.24g, Total: 22.42g"," $ 4,589.04 ","335,000"
N024-S,"Om Ah Hung sacred syllables Necklace, Silver, 48cm", $ 102.74 ,"7,500"
N025-YG14-TQ-DIA,"Oval Turquoise Necklace, Yellow 14k Gold, Turquoise: 6.01cts, Diamonds: .15cts 5.62g"," $ 1,246.58 ","91,000"
C004-S,"Vajra and Bell Mala Counters, Silver, Silver, Rhodium", $ 164.38 ,"12,000"
C003-S,"Vajra and Bell Mala Counters, Large, Silver, Rhodium", $ 219.18 ,"16,000"
C004-YG14,"Vajra and Bell Mala Counters, Yellow 14k Gold, 8.87g"," $ 1,712.33 ","125,000"
C004-RGP,"Vajra and Bell Mala counters, Rose/Yellow Gold Plated", $ 232.88 ,"17,000"
C005-S,"Phurba mala counter Silver, Rhodium, 3.81g", $ 82.19 ,"6,000"
C005-YG14,"Mala Counter - Phurba, 14k Yellow Gold, 4.78g", $ 821.92 ,"60,000"
C005-RGP,"Phurba mala counter Rose Gold Plated, 3.81g", $ 109.59 ,"8,000"
C007-S,"Phurba mala counter, Large Silver, Rhodium, 3.81g", $ 109.59 ,"8,000"
C007-YGP,"Mala Counter - Phurba, Large. Yellow Gold Plated 8.48g, (Vermeil Gold)", $ 150.68 ,"11,000"
C006-S,"Drigug mala tally counter Silver, Rhodium, 3.82g", $ 82.19 ,"6,000"
C008-S,"Drigug mala tally counter, Large Silver, Rhodium, 8.44g", $ 109.59 ,"8,000"
C006-RGP,"Drigug mala tally counter Rose Gold Plated, 3.82g", $ 109.59 ,"8,000"
C006-YG14,"Mala Counter - Drigug, Yellow 14k Gold, 4.73g", $ 821.92 ,"60,000"
C008-YGP,"Mala Counter - Drigug, Large. Yellow Gold Plated 8.47g, (Vermeil Gold)", $ 150.68 ,"11,000"
BR001-YGP,"Eight Auspicious Symbols Brooch, Round, Silver Gold Plated 21.3g", $ 273.97 ,"20,000"
BR002-YGP,"Eight Auspicious Symbols Brooch, Elongated, Silver Gold Plated 17.7g", $ 301.37 ,"22,000"
BR003-S,"Tam Syllable Brooch, Larger, Silver, 46mm 5.6g", $ 109.59 ,"8,000"
BR003-YGP,"Tam Syllable Brooch, Larger, Yellow Gold Plated, 46mm 5.5g", $ 123.29 ,"9,000"
BR003B-S,"Tam Syllable Brooch, Smaller, Silver, 37mm 2.7g", $ 68.49 ,5000
BR003B-YGP,"Tam Syllable Brooch, Smaller, Gold Plated, 37mm 2.7g", $ 82.19 ,"6,000"
BR004-S,"Hung Syllable Brooch, Larger, 53mm, Silver 7.6g", $ 123.29 ,"9,000"
BR004-YGP,"Hung Syllable Brooch, 53mm, Larger, Yellow Gold Plated, 7.6g", $ 136.99 ,"10,000"
BR004B-S,"Hung Syllable Brooch, Smaller, Silver , 37mm 3.8g", $ 89.04 ,"6,500"
BR005,"Dhi Syllable Brooch, Silver, Larger, 55mm 10.2g", $ 136.99 ,"10,000"
BR005-YGP,"Dhi Syllable Brooch, Gold Plated, Larger, 55mm 10.37g", $ 150.68 ,"11,000"
BR005B-S,"Dhi Syllable Brooch, Silver Smaller, 35mm", $ 89.04 ,"6,500"
BR005B-YGP,"Dhi Syllable Brooch, Gold Plated, Smaller, 35mm", $ 102.74 ,"7,500"
BR006-S,"Hri Syllable Brooch Larger, Silver, 43mm", $ 123.29 ,"9,000"
BR006-YGP,"Hri Syllable Brooch Larger Gold Plated, 43mm, 9.21g", $ 136.99 ,"10,000"
BR006-RGP,"Hri Syllable Brooch Larger Rose Gold Plated, 43mm 9.19g", $ 136.99 ,"10,000"
BR006B-S,"Hri Syllable Brooch Silver, Smaller, 36mm 3.9g", $ 75.34 ,"5,500"
BR006B-YGP,"Hri Syllable Brooch, Gold Plated, Smaller, 36mm 3.9g", $ 95.89 ,"7,000"
BR007-S,"Bam Syllable Brooch, Silver, 28mm 3g", $ 61.64 ,"4,500"
BR007-YGP,"Bam Syllable Brooch, Yellow Gold Plated 28mm, 3g", $ 68.49 ,"5,000"
BR007-RGP,"Bam Syllable Brooch, Rose Gold Plated 28mm, 3g", $ 68.49 ,"5,000"
BR008-S,"Ah Syllable Brooch, Silver 4g", $ 68.49 ,"5,000"
BR008-YGP,"Ah Syllable Brooch, Gold Plated 4g", $ 82.19 ,"6,000"
BR009,"Om Syllable Brooch, Silver, 26mm 2.8g", $ 68.49 ,"5,000"
BR009-YGP,"Om Syllable Brooch, Yellow Gold Plated, 26mm 2.8g", $ 82.19 ,"6,000"
BR010-S,"Dzam Syllable Brooch, Silver 3.38g", $ 68.49 ,"5,000"
BR010-YGP,"Dzam Syllable Brooch, Gold Plated 3.39g", $ 82.19 ,"6,000"
BR011-S,"Double Vajra Brooch, Silver, CZ, 5.25g", $ 116.44 ,"8,500"
BR011-YGP,"Double Vajra Brooch, YGP, CZ, 5.15g", $ 136.99 ,"10,000"
BR012-S,Blue Poppy Silver Enamel Brooch National Flower, $ 424.66 ,"31,000"
CL002-S,"Double Vajra Full Diamond Cufflinks Silver, CZ 14g", $ 219.18 ,"16,000"
CL002-YGP,"Double Vajra Full Diamond Cufflinks Gold Plated, CZ 14.46g", $ 232.88 ,"17,000"
CL003-YGP,"Malaya Emblem Cufflinks, Yellow Gold Plated, CZ Diamonds", $ 232.88 ,"17,000"
CL004-S,Sun and Moon Tashi Mannox Cufflinks Silver 13.64g, $ 260.27 ,"19,000"
CL004-YGP,Sun and Moon Tashi Mannox Cufflinks Gold Plated 13.8g, $ 287.67 ,"21,000"
CL005-S,"Double Dorje Cufflink, Silver 10.45g", $ 178.08 ,"13,000"
CL005-YGP,"Double Dorje Cufflink, Yellow Gold Plated 10.51g", $ 191.78 ,"14,000"
CL006-S,"Double Dorje Cufflink, Enamel, Silver 10.67g", $ 198.63 ,"14,500"
CL006-YGP,"Double Dorje Cufflink, Enamel, Yellow Gold Plated 10.36g", $ 212.33 ,"15,500"
CL005-S-CZ,"Double Dorje Cufflink, Silver, CZ Diamonds 10.76g", $ 184.93 ,"13,500"
CL005-YGP-CZ,"Double Dorje Cufflink, YGP, CZ 10.49g", $ 198.63 ,"14,500"
CL006-S-CZ,"Double Dorje Cufflink, Enamel, Silver, CZ 10.69g", $ 205.48 ,"15,000"
CL006-YGP-CZ,"Double Dorje Cufflink, Enamel, YGP, CZ 10.59g", $ 219.18 ,"16,000"
CC3100,"Silver Chain CC3100, 45cm, 1.47g", $ 34.25 ,"2,500"
CH060-S,"Silver Chain, 45cm CH060, 7.31g", $ 47.95 ,"3,500"
CH040-YGP,Chain CH040 Silver Yellow Gold Plated, $ 54.79 ,"4,000"
CC028-YG14,"Gold 14k Chain CC028, 38-42-45cm, 1.64g", $ 246.58 ,"18,000"
CA040-YG14,"CA040 Yellow 14k Gold chain, 2.66g", $ 397.26 ,"29,000"
EXT 15cm-YG14,"Chain Extension 15cm, adjustable to 10cm and 5cm, Yellow Gold 14k, 0.92g:", $ 102.74 ,"7,500"
EXT 15cm-YG18,"Chain Extension 15cm, Yellow Gold 18k, 1.15g:", $ 150.68 ,"11,000"
CC028-RG14-45,"Chain 14k Rose gold, 45cm, spring-lock", $ 219.18 ,"16,000"
