Sales Code,Description,USD,Ngultrum
P033-TT14-MOP,"Clover shaped vajra pendant, white gold, yellow gold, diamonds 3.43g, .153cts", $ 821.92 ,"60,000"
P035-S,Silver Tam Syllable Pendant With Chain TASHI MANNOX DESIGN, $ 82.19 ,"6,000"
P035-YG14,"Solid 14K Gold Tam syllable pendant, Pendant only 4.32 grams", $ 739.73 ,"54,000"
P012-YG14,"Tam syllable pendant small size, 24.5mm, Yellow 14k gold, 1.21g", $ 239.73 ,"17,500"
P041-CZ-S,"Tam Syllable Pendant, Silver, CZ Diamonds, With Chain", $ 205.48 ,"15,000"
P042-WG14-DIA,"Tam syllable Pendant White Gold 14k, Diamonds, .262 CTS. With Chain, 1.2g", $ 671.23 ,"49,000"
P042-YG14-DIA,"Tam Syllable Pendant YG14, Diamonds, .25cts, Pendant only, 1.18g", $ 643.84 ,"47,000"
P038-S,New Tashi Mannox OM AH HUNG/ Vajra Dogtag pendant, $ 191.78 ,"14,000"
P044-YGP,"Tsipatta/ Hung Syllable Gau, openable, Silver, Gold Plated, With Chain 21.68g", $ 547.95 ,"40,000"
P045-YGP,"Tara Mantra Pendant Green Agate Tashi Mannox Design silver, gold plated. 34.19g", $ 630.14 ,"46,000"
P055-S,"Double Dorje Pendant, Silver, CZ Diamond, With Chain", $ 109.59 ,"8,000"
P055-YG14,"Double Dorje Pendant, Yellow 14K Gold, 2.72g, central diamond .029cts, pendant only", $ 479.45 ,"35,000"
P047B-YG14,"Phurba Pendant medium, 14k yellow & white gold, 4.98g, Pendant only", $ 849.32 ,"62,000"
P049-S,"Phurba Pendant Small, Silver, With chain 45cm 4.04g", $ 82.19 ,"6,000"
P049-YG14,"Phurba Pendant Small, Yellow Gold 14k , 2.42g: Pendant only", $ 424.66 ,"31,000"
P050-S,"Drigug Pendant Small, Silver, With chain 45cm 4.02g", $ 82.19 ,"6,000"
P050-YG14,"Drigug Pendant Small, Yellow Gold 14k, 2.44g Pendant only", $ 424.66 ,"31,000"
P065-S,"Om syllable pendant, no frame, Tashi Mannox Design, Silver, with chain", $ 82.19 ,"6,000"
P065-YG18,"Om Syllable Pendant, NEW, Yellow Gold 18k, Pendant Only 4.3g", $ 767.12 ,"56,000"
P037-S,New Ah syllable Pendant Tashi Mannox Design Silver with chain, $ 68.49 ,"5,000"
P037-YG14,New Ah syllable Pendant Tashi Mannox Design 3.40 grams Solid 14k Gold, $ 582.19 ,"42,500"
P058-S-B,Hung Syllable Pendant Silver Blue Enamel with chain, $ 116.44 ,"8,500"
P059-S-G,"Tam Syllable Pendant, Silver, Green Enamel, with chain", $ 95.89 ,"7,000"
P060-YGP-R,"Bam Syllable Pendant, Yellow Gold Plated, Red Enamel with chain", $ 109.59 ,8000
P052-S,"Bam Syllable Pendant, Silver, with chain 2.59g", $ 82.19 ,"6,000"
P052-YG14,"Bam Syllable Pendant, Yellow Gold 14k, 3.23g", $ 561.64 ,"41,000"
P061-S,"Hri Syllable Pendant Silver, Larger, With Chain", $ 95.89 ,"7,000"
P072-S,"Silver Buddha Shakyamuni Medallion Pendant, Rhodinated, With Chain, 42-45-55 cm", $ 109.59 ,"8,000"
P072-YGP,"Yellow Gold Plated Buddha Shakyamuni Medallion Pendant, With Chain, 42-45-55 cm", $ 205.48 ,"15,000"
P064-YGP-CZ,"Double Vajra Medallion, Gold Plated, CZ, With Chain 55cm", $ 219.18 ,"16,000"
P067-S,"Ratna Pendant Purple Quartz, Silver, CZ Diamonds, with chain", $ 130.14 ,"9,500"
P068-YG14-TQ,"Turquoise Oval Pendant,Yellow Gold 14k, Diamonds 0.216 CTS. 1.88g", $ 739.73 ,"54,000"
P070-YG14-TQ,"Bumpa Turquoise Pendant with a diamond .008cts, 3.76g", $ 726.03 ,"53,000"
P066-YG14-SRB,"Longevity Vase Bumpa Pendant, Yellow Gold 14k: 13.72g, Red Rubies, Openable"," $ 2,356.16 ","172,000"
P071-YG18-BSDIA,"18K Longevity Vase, Larger, with Large sapphires and diamonds .14 CTS. 45.95g"," $ 8,835.62 ","645,000"
P073-YG14-TQ-DIA,Intricate Diamond Turquoise Pendant 2.64 CTS./ Diamonds .188 CTS.," $ 1,260.27 ","92,000"
E006-S,"Infinity Knot Hanging Earrings, Silver", $ 82.19 ,"6,000"
E006-YGP,"Infinity Knot Hanging Earrings, Gold Plated 4.07g", $ 102.74 ,"7,500"
E006-YG18,"Infinity Knot Hanging Earrings, 18k Yellow Gold 6.95g"," $ 1,328.77 ","97,000"
E006B-S,"Endless Knot Earrings Large, Silver 6.2g", $ 95.89 ,"7,000"
E006B-YGP,"Endless Knot Earrings Large, YGP 6.23g", $ 109.59 ,"8,000"
E027-S,"Endless Knot Stud Earrings, Silver, omega clip", $ 82.19 ,"6,000"
E027-YGP,"Endless Knot Stud Earrings, Yellow Gold Plated, omega clip", $ 102.74 ,"7,500"
E039-YGP-CZ,"Long Hanging Endless Knot Earrings, Yellow Gold Plated, CZ", $ 164.38 ,"12,000"
E039-YG18-DIA,"Long Hanging Endless Knot Earrings, Yellow Gold 18k, 7.56g 0.64cts Diamonds"," $ 1,479.45 ","108,000"
E032-S-CZ,"Endless Knot Earrings Silver, CZ", $ 150.68 ,"11,000"
E021-YG18,Hanging Endless Knot Earrings 18k Yellow Gold 1.3cts diamonds 13.34g," $ 3,595.89 ","262,500"
E013-YG14,"Endless Band Earrings, Solid Gold 14k, 19mm 6.74g"," $ 1,150.68 ","84,000"
E030-YG14,"Endless Knot Earrings, Larger GOLD 14K, 23mm, 9.05g"," $ 1,547.95 ","113,000"
E026-S,"Malaya Logo Earrings, Silver, CZ", $ 61.64 ,"4,500"
E026-YGP,"Malaya Logo Earrings, Yellow Gold Plated, CZ Diamonds", $ 68.49 ,5000
E026-YG14,"Malaya Logo Earrings, Yellow 14k Gold, diamond 2.36g .025 CTS.", $ 356.16 ,"26,000"
E026-YG18,"Malaya Logo Earrings, Yellow 18k Gold, diamond 2.74g .025 CTS.", $ 547.95 ,"40,000"
E008-DIA-YG14,"Double Dorje Stud Earrings, 14k gold, 4.33g: 29 White Diamonds, .197cts"," $ 1,136.99 ","83,000"
E008-YG14-RR,"Double Dorje Stud Earrings, 14k Yellow Gold, 29 red rubies .2cts"," $ 1,136.99 ","83,000"
E008-YG14-BS,"Double Dorje Stud Earrings, 29 Blue Sapphires, .2cts 14k Yellow Gold 4.3g"," $ 1,136.99 ","83,000"
E008/GE/YG14,"Double Dorje Stud Earrings, 29 Green Emeralds, .2cts 14k Yellow Gold 4.33g"," $ 1,136.99 ","83,000"
E010A-YG14,"White Enamel OM syllable stud earrings 14K yellow gold, 1.95g", $ 287.67 ,"21,000"
E010-B-YG14,"Blue Enamel HUNG syllable stud earrings 14K yellow gold, 1.88g", $ 287.67 ,"21,000"
E010-C-YG14,"Green Enamel TAM syllable stud earrings 14K yellow gold, 1.83g", $ 287.67 ,"21,000"
E010D-YG14,"Red Enamel BAM syllable stud earrings 14K yellow gold, 1.93g", $ 287.67 ,"21,000"
E035-S-CZ,"Om syllable earrings, Silver, CZ", $ 164.38 ,"12,000"
